
--- Starting High-Throughput Training on cuda ---
✅ GPU Acceleration: Augmentation & TF32 Enabled
--- Fast 3D Loader Initialized (Train) ---
Data Loaded.
Model Loaded. Resuming from Epoch 730.
Epoch 841 | Segmentation Dice Loss: 0.1306
Epoch 842 | Segmentation Dice Loss: 0.1283
Epoch 843 | Segmentation Dice Loss: 0.1283
Epoch 844 | Segmentation Dice Loss: 0.1278
Epoch 845 | Segmentation Dice Loss: 0.1271
Epoch 846 | Segmentation Dice Loss: 0.1261
Epoch 847 | Segmentation Dice Loss: 0.1253
Epoch 848 | Segmentation Dice Loss: 0.1243
Epoch 849 | Segmentation Dice Loss: 0.1257
Epoch 850 | Segmentation Dice Loss: 0.1240
   -> Checkpoint Saved (Epoch 850)
Epoch 851 | Segmentation Dice Loss: 0.1242
Epoch 852 | Segmentation Dice Loss: 0.1276
Epoch 853 | Segmentation Dice Loss: 0.1259
Epoch 854 | Segmentation Dice Loss: 0.1260
Epoch 855 | Segmentation Dice Loss: 0.1269
Epoch 856 | Segmentation Dice Loss: 0.1237
Epoch 857 | Segmentation Dice Loss: 0.1236
Epoch 858 | Segmentation Dice Loss: 0.1195
Epoch 859 | Segmentation Dice Loss: 0.1195
Epoch 860 | Segmentation Dice Loss: 0.1208
   -> Checkpoint Saved (Epoch 860)
Epoch 861 | Segmentation Dice Loss: 0.1189
Epoch 862 | Segmentation Dice Loss: 0.1264
Epoch 863 | Segmentation Dice Loss: 0.1173
Epoch 864 | Segmentation Dice Loss: 0.1205
Epoch 865 | Segmentation Dice Loss: 0.1171
Epoch 866 | Segmentation Dice Loss: 0.1157
Epoch 867 | Segmentation Dice Loss: 0.1165
Epoch 868 | Segmentation Dice Loss: 0.1153
Epoch 869 | Segmentation Dice Loss: 0.1222
Epoch 870 | Segmentation Dice Loss: 0.1173
   -> Checkpoint Saved (Epoch 870)
Epoch 871 | Segmentation Dice Loss: 0.1165
Epoch 872 | Segmentation Dice Loss: 0.1156
Epoch 873 | Segmentation Dice Loss: 0.1195
Epoch 874 | Segmentation Dice Loss: 0.1163
Epoch 875 | Segmentation Dice Loss: 0.1171
Epoch 876 | Segmentation Dice Loss: 0.1129
Epoch 877 | Segmentation Dice Loss: 0.1134
Epoch 878 | Segmentation Dice Loss: 0.1137
Epoch 879 | Segmentation Dice Loss: 0.1134
Epoch 880 | Segmentation Dice Loss: 0.1146
   -> Checkpoint Saved (Epoch 880)
Epoch 881 | Segmentation Dice Loss: 0.1106
Epoch 882 | Segmentation Dice Loss: 0.1103
Epoch 883 | Segmentation Dice Loss: 0.1098
Epoch 884 | Segmentation Dice Loss: 0.1134
Epoch 885 | Segmentation Dice Loss: 0.1080
Epoch 886 | Segmentation Dice Loss: 0.1093
Epoch 887 | Segmentation Dice Loss: 0.1070
Epoch 888 | Segmentation Dice Loss: 0.1097
Epoch 889 | Segmentation Dice Loss: 0.1081
Epoch 890 | Segmentation Dice Loss: 0.1075
   -> Checkpoint Saved (Epoch 890)
Epoch 891 | Segmentation Dice Loss: 0.1054
Epoch 892 | Segmentation Dice Loss: 0.1044
Epoch 893 | Segmentation Dice Loss: 0.1045
Epoch 894 | Segmentation Dice Loss: 0.1067
Epoch 895 | Segmentation Dice Loss: 0.1042
Epoch 896 | Segmentation Dice Loss: 0.1039
Epoch 897 | Segmentation Dice Loss: 0.1043
Epoch 898 | Segmentation Dice Loss: 0.1022
Epoch 899 | Segmentation Dice Loss: 0.1040
Epoch 900 | Segmentation Dice Loss: 0.1021
   -> Checkpoint Saved (Epoch 900)
Epoch 901 | Segmentation Dice Loss: 0.1037
Epoch 902 | Segmentation Dice Loss: 0.1002
Epoch 903 | Segmentation Dice Loss: 0.1007
Epoch 904 | Segmentation Dice Loss: 0.1009
Epoch 905 | Segmentation Dice Loss: 0.0995
Epoch 906 | Segmentation Dice Loss: 0.1055
Epoch 907 | Segmentation Dice Loss: 0.0993
Epoch 908 | Segmentation Dice Loss: 0.1008
Epoch 909 | Segmentation Dice Loss: 0.0984
Epoch 910 | Segmentation Dice Loss: 0.0986
   -> Checkpoint Saved (Epoch 910)
Epoch 911 | Segmentation Dice Loss: 0.0986
Epoch 912 | Segmentation Dice Loss: 0.0982
Epoch 913 | Segmentation Dice Loss: 0.0995
Epoch 914 | Segmentation Dice Loss: 0.0957
Epoch 915 | Segmentation Dice Loss: 0.0970
Epoch 916 | Segmentation Dice Loss: 0.0975
Epoch 917 | Segmentation Dice Loss: 0.0946
Epoch 918 | Segmentation Dice Loss: 0.0951
Epoch 919 | Segmentation Dice Loss: 0.0943
Epoch 920 | Segmentation Dice Loss: 0.0930
   -> Checkpoint Saved (Epoch 920)
Epoch 921 | Segmentation Dice Loss: 0.0924
Epoch 922 | Segmentation Dice Loss: 0.0974
Epoch 923 | Segmentation Dice Loss: 0.0918
Epoch 924 | Segmentation Dice Loss: 0.0917
Epoch 925 | Segmentation Dice Loss: 0.0923
Epoch 926 | Segmentation Dice Loss: 0.0904
Epoch 927 | Segmentation Dice Loss: 0.0902
Epoch 928 | Segmentation Dice Loss: 0.0925
Epoch 929 | Segmentation Dice Loss: 0.0911
Epoch 930 | Segmentation Dice Loss: 0.0919
   -> Checkpoint Saved (Epoch 930)
Epoch 931 | Segmentation Dice Loss: 0.0885
Epoch 932 | Segmentation Dice Loss: 0.0897
Epoch 933 | Segmentation Dice Loss: 0.0894
Epoch 934 | Segmentation Dice Loss: 0.0930
Epoch 935 | Segmentation Dice Loss: 0.0879
Epoch 936 | Segmentation Dice Loss: 0.0894
Epoch 937 | Segmentation Dice Loss: 0.0872
Epoch 938 | Segmentation Dice Loss: 0.0909
Epoch 939 | Segmentation Dice Loss: 0.0869
Epoch 940 | Segmentation Dice Loss: 0.0891
   -> Checkpoint Saved (Epoch 940)
Epoch 941 | Segmentation Dice Loss: 0.0854
Epoch 942 | Segmentation Dice Loss: 0.0906
Epoch 943 | Segmentation Dice Loss: 0.0928
Epoch 944 | Segmentation Dice Loss: 0.0850
Epoch 945 | Segmentation Dice Loss: 0.0881
Epoch 946 | Segmentation Dice Loss: 0.0854
Epoch 947 | Segmentation Dice Loss: 0.0845
Epoch 948 | Segmentation Dice Loss: 0.0850
Epoch 949 | Segmentation Dice Loss: 0.0921
Epoch 950 | Segmentation Dice Loss: 0.0844
   -> Checkpoint Saved (Epoch 950)
Epoch 951 | Segmentation Dice Loss: 0.0886
Epoch 952 | Segmentation Dice Loss: 0.0870
Epoch 953 | Segmentation Dice Loss: 0.0844
Epoch 954 | Segmentation Dice Loss: 0.0829
Epoch 955 | Segmentation Dice Loss: 0.0830
Epoch 956 | Segmentation Dice Loss: 0.0857
Epoch 957 | Segmentation Dice Loss: 0.0860
Epoch 958 | Segmentation Dice Loss: 0.0840
Epoch 959 | Segmentation Dice Loss: 0.0816
Epoch 960 | Segmentation Dice Loss: 0.0869
   -> Checkpoint Saved (Epoch 960)
Epoch 961 | Segmentation Dice Loss: 0.0807
Epoch 962 | Segmentation Dice Loss: 0.0811
Epoch 963 | Segmentation Dice Loss: 0.0811
Epoch 964 | Segmentation Dice Loss: 0.0818
Epoch 965 | Segmentation Dice Loss: 0.0811
Epoch 966 | Segmentation Dice Loss: 0.0791
Epoch 967 | Segmentation Dice Loss: 0.0783
Epoch 968 | Segmentation Dice Loss: 0.0812
Epoch 969 | Segmentation Dice Loss: 0.0804
Epoch 970 | Segmentation Dice Loss: 0.0792
   -> Checkpoint Saved (Epoch 970)
Epoch 971 | Segmentation Dice Loss: 0.0772
Epoch 972 | Segmentation Dice Loss: 0.0782
Epoch 973 | Segmentation Dice Loss: 0.0780
Epoch 974 | Segmentation Dice Loss: 0.0777
Epoch 975 | Segmentation Dice Loss: 0.0830
Epoch 976 | Segmentation Dice Loss: 0.0779
Epoch 977 | Segmentation Dice Loss: 0.0772
Epoch 978 | Segmentation Dice Loss: 0.0765
Epoch 979 | Segmentation Dice Loss: 0.0764
Epoch 980 | Segmentation Dice Loss: 0.0747
   -> Checkpoint Saved (Epoch 980)
Epoch 981 | Segmentation Dice Loss: 0.0762
Epoch 982 | Segmentation Dice Loss: 0.0754
Epoch 983 | Segmentation Dice Loss: 0.0742
Epoch 984 | Segmentation Dice Loss: 0.0743
Epoch 985 | Segmentation Dice Loss: 0.0728
Epoch 986 | Segmentation Dice Loss: 0.0733
Epoch 987 | Segmentation Dice Loss: 0.0761
Epoch 988 | Segmentation Dice Loss: 0.0739
Epoch 989 | Segmentation Dice Loss: 0.0725
Epoch 990 | Segmentation Dice Loss: 0.0760
   -> Checkpoint Saved (Epoch 990)
Epoch 991 | Segmentation Dice Loss: 0.0721
Epoch 992 | Segmentation Dice Loss: 0.0727
Epoch 993 | Segmentation Dice Loss: 0.0729
Epoch 994 | Segmentation Dice Loss: 0.0708
Epoch 995 | Segmentation Dice Loss: 0.0763
Epoch 996 | Segmentation Dice Loss: 0.0737
Epoch 997 | Segmentation Dice Loss: 0.0723
Epoch 998 | Segmentation Dice Loss: 0.0697
Epoch 999 | Segmentation Dice Loss: 0.0692
Epoch 1000 | Segmentation Dice Loss: 0.0747
   -> Checkpoint Saved (Epoch 1000)
