--- Starting ULTRA 3D Segmentation Training on cuda ---
✅ VRAM Optimization: TF32 Enabled
✅ Batch Size: 4
✅ Filters: [32, 64, 128, 256, 512]
--- Full Volume Augmentation Loader (Train) ---
Target Size: (256, 256, 256)
Epoch 1 | Segmentation Dice Loss: 0.8211
Epoch 2 | Segmentation Dice Loss: 0.7874
Epoch 3 | Segmentation Dice Loss: 0.7738
Epoch 4 | Segmentation Dice Loss: 0.7635
Epoch 5 | Segmentation Dice Loss: 0.7556
Epoch 6 | Segmentation Dice Loss: 0.7498
Epoch 7 | Segmentation Dice Loss: 0.7444
Epoch 8 | Segmentation Dice Loss: 0.7390
Epoch 9 | Segmentation Dice Loss: 0.7325
Epoch 10 | Segmentation Dice Loss: 0.7297
   -> Checkpoint Saved
Epoch 11 | Segmentation Dice Loss: 0.7234
Epoch 12 | Segmentation Dice Loss: 0.7191
Epoch 13 | Segmentation Dice Loss: 0.7162
Epoch 14 | Segmentation Dice Loss: 0.7113
Epoch 15 | Segmentation Dice Loss: 0.7078
Epoch 16 | Segmentation Dice Loss: 0.7041
Epoch 17 | Segmentation Dice Loss: 0.7017
Epoch 18 | Segmentation Dice Loss: 0.7006
Epoch 19 | Segmentation Dice Loss: 0.6962
Epoch 20 | Segmentation Dice Loss: 0.6950
   -> Checkpoint Saved
Epoch 21 | Segmentation Dice Loss: 0.6911
Epoch 22 | Segmentation Dice Loss: 0.6896
Epoch 23 | Segmentation Dice Loss: 0.6863
Epoch 24 | Segmentation Dice Loss: 0.6841
Epoch 25 | Segmentation Dice Loss: 0.6820
Epoch 26 | Segmentation Dice Loss: 0.6792
Epoch 27 | Segmentation Dice Loss: 0.6795
Epoch 28 | Segmentation Dice Loss: 0.6758
Epoch 29 | Segmentation Dice Loss: 0.6746
Epoch 30 | Segmentation Dice Loss: 0.6714
   -> Checkpoint Saved
Epoch 31 | Segmentation Dice Loss: 0.6717
Epoch 32 | Segmentation Dice Loss: 0.6684
Epoch 33 | Segmentation Dice Loss: 0.6671
Epoch 34 | Segmentation Dice Loss: 0.6656
Epoch 35 | Segmentation Dice Loss: 0.6671
Epoch 36 | Segmentation Dice Loss: 0.6630
Epoch 37 | Segmentation Dice Loss: 0.6612
Epoch 38 | Segmentation Dice Loss: 0.6603
Epoch 39 | Segmentation Dice Loss: 0.6577
Epoch 40 | Segmentation Dice Loss: nan
   -> Checkpoint Saved
Epoch 41 | Segmentation Dice Loss: nan
Epoch 42 | Segmentation Dice Loss: nan
Epoch 43 | Segmentation Dice Loss: nan
Epoch 44 | Segmentation Dice Loss: nan
Epoch 45 | Segmentation Dice Loss: nan
Epoch 46 | Segmentation Dice Loss: nan
Epoch 47 | Segmentation Dice Loss: nan
Epoch 48 | Segmentation Dice Loss: nan
Epoch 49 | Segmentation Dice Loss: nan
Epoch 50 | Segmentation Dice Loss: nan
   -> Checkpoint Saved
Epoch 51 | Segmentation Dice Loss: nan
Epoch 52 | Segmentation Dice Loss: nan
Epoch 53 | Segmentation Dice Loss: nan
Epoch 54 | Segmentation Dice Loss: nan
Epoch 55 | Segmentation Dice Loss: nan
Epoch 56 | Segmentation Dice Loss: nan
