--- Starting ULTRA 3D Segmentation Training on cuda ---
✅ VRAM Optimization: TF32 Enabled
✅ Batch Size: 4
✅ Filters: [32, 64, 128, 256, 512]
--- Full Volume Augmentation Loader (Train) ---
Target Size: (256, 256, 256)
Epoch 1 | Segmentation Dice Loss: 0.8211
Epoch 2 | Segmentation Dice Loss: 0.7976
Epoch 3 | Segmentation Dice Loss: 0.7875
Epoch 4 | Segmentation Dice Loss: 0.7786
Epoch 5 | Segmentation Dice Loss: 0.7723
Epoch 6 | Segmentation Dice Loss: 0.7679
Epoch 7 | Segmentation Dice Loss: 0.7637
Epoch 8 | Segmentation Dice Loss: 0.7624
Epoch 9 | Segmentation Dice Loss: 0.7585
Epoch 10 | Segmentation Dice Loss: 0.7584
   -> Checkpoint Saved
Epoch 11 | Segmentation Dice Loss: 0.7555
Epoch 12 | Segmentation Dice Loss: 0.7522
Epoch 13 | Segmentation Dice Loss: 0.7503
Epoch 14 | Segmentation Dice Loss: 0.7477
Epoch 15 | Segmentation Dice Loss: 0.7454
Epoch 16 | Segmentation Dice Loss: 0.7436
Epoch 17 | Segmentation Dice Loss: 0.7422
Epoch 18 | Segmentation Dice Loss: 0.7404
Epoch 19 | Segmentation Dice Loss: 0.7394
Epoch 20 | Segmentation Dice Loss: 0.7386
   -> Checkpoint Saved
Epoch 21 | Segmentation Dice Loss: 0.7366
Epoch 22 | Segmentation Dice Loss: 0.7343
Epoch 23 | Segmentation Dice Loss: 0.7311
Epoch 24 | Segmentation Dice Loss: 0.7308
Epoch 25 | Segmentation Dice Loss: 0.7282
Epoch 26 | Segmentation Dice Loss: 0.7269
Epoch 27 | Segmentation Dice Loss: 0.7340
Epoch 28 | Segmentation Dice Loss: 0.7279
Epoch 29 | Segmentation Dice Loss: 0.7276
Epoch 30 | Segmentation Dice Loss: 0.7265
   -> Checkpoint Saved
Epoch 31 | Segmentation Dice Loss: 0.7257
Epoch 32 | Segmentation Dice Loss: 0.7244
Epoch 33 | Segmentation Dice Loss: 0.7235
Epoch 34 | Segmentation Dice Loss: 0.7219
Epoch 35 | Segmentation Dice Loss: 0.7208
Epoch 36 | Segmentation Dice Loss: 0.7224
Epoch 37 | Segmentation Dice Loss: 0.7176
Epoch 38 | Segmentation Dice Loss: 0.7182
Epoch 39 | Segmentation Dice Loss: 0.7153
Epoch 40 | Segmentation Dice Loss: 0.7157
   -> Checkpoint Saved
Epoch 41 | Segmentation Dice Loss: 0.7131
Epoch 42 | Segmentation Dice Loss: 0.7131
Epoch 43 | Segmentation Dice Loss: 0.7109
Epoch 44 | Segmentation Dice Loss: 0.7088
Epoch 45 | Segmentation Dice Loss: 0.7089
Epoch 46 | Segmentation Dice Loss: 0.7084
Epoch 47 | Segmentation Dice Loss: 0.7075
Epoch 48 | Segmentation Dice Loss: 0.7051
Epoch 49 | Segmentation Dice Loss: 0.7044
Epoch 50 | Segmentation Dice Loss: 0.7034
   -> Checkpoint Saved
Epoch 51 | Segmentation Dice Loss: 0.7045
Epoch 52 | Segmentation Dice Loss: 0.7049
Epoch 53 | Segmentation Dice Loss: 0.7037
Epoch 54 | Segmentation Dice Loss: 0.7012
Epoch 55 | Segmentation Dice Loss: 0.7018
Epoch 56 | Segmentation Dice Loss: 0.6983
Epoch 57 | Segmentation Dice Loss: 0.6970
Epoch 58 | Segmentation Dice Loss: 0.6967
Epoch 59 | Segmentation Dice Loss: 0.6949
Epoch 60 | Segmentation Dice Loss: 0.6942
   -> Checkpoint Saved
Epoch 61 | Segmentation Dice Loss: 0.6970
Epoch 62 | Segmentation Dice Loss: 0.6935
Epoch 63 | Segmentation Dice Loss: 0.6911
Epoch 64 | Segmentation Dice Loss: 0.6909
Epoch 65 | Segmentation Dice Loss: 0.6911
Epoch 66 | Segmentation Dice Loss: 0.6922
Epoch 67 | Segmentation Dice Loss: 0.6882
Epoch 68 | Segmentation Dice Loss: 0.6898
Epoch 69 | Segmentation Dice Loss: 0.6871
Epoch 70 | Segmentation Dice Loss: 0.6886
   -> Checkpoint Saved
Epoch 71 | Segmentation Dice Loss: 0.6900
Epoch 72 | Segmentation Dice Loss: 0.6860
Epoch 73 | Segmentation Dice Loss: 0.6874
Epoch 74 | Segmentation Dice Loss: 0.6857
Epoch 75 | Segmentation Dice Loss: 0.6867
Epoch 76 | Segmentation Dice Loss: 0.6834
Epoch 77 | Segmentation Dice Loss: 0.6832
Epoch 78 | Segmentation Dice Loss: 0.6837
Epoch 79 | Segmentation Dice Loss: 0.6831
Epoch 80 | Segmentation Dice Loss: 0.6815
   -> Checkpoint Saved
Epoch 81 | Segmentation Dice Loss: 0.6826
Epoch 82 | Segmentation Dice Loss: 0.6805
Epoch 83 | Segmentation Dice Loss: 0.6801
Epoch 84 | Segmentation Dice Loss: 0.6824
